Year,Province,Population,PopulationDensity
2010,Abra,234733,56
2010,Agusan del Norte,332487,127
2010,Agusan del Sur,656418,66
2010,Aklan,535725,304
2010,Albay,1233432,479
2010,Antique,546031,200
2010,Apayao,112636,25
2010,Aurora,201233,64
2010,Basilan,293322,85
2010,Bataan,687482,501
2010,Batanes,16604,82
2010,Batangas,2377395,763
2010,Benguet,403944,146
2010,Biliran,161760,302
2010,Bohol,1255128,263
2010,Bukidnon,1299192,124
2010,Bulacan,2924433,1051
2010,Cagayan,1124773,120
2010,Camarines Norte,542915,238
2010,Camarines Sur,1822371,331
2010,Camiguin,83807,347
2010,Capiz,719685,277
2010,Catanduanes,246300,165
2010,Cavite,3090691,2025
2010,Cebu,2619362,530
2010,Cotabato,1226508,132
2010,Davao Occidental,293780,136
2010,Davao Oriental,517618,91
2010,Davao de Oro,783775,175
2010,Davao del Norte,945764,276
2010,Davao del Sur,574910,266
2010,Dinagat Islands,126803,155
2010,Eastern Samar,428877,93
2010,Guimaras,162943,266
2010,Ifugao,191078,73
2010,Ilocos Norte,568017,166
2010,Ilocos Sur,658587,254
2010,Iloilo,1805576,361
2010,Isabela,1489645,114
2010,Kalinga,201613,61
2010,La Union,741906,495
2010,Laguna,2669847,1385
2010,Lanao del Norte,607917,181
2010,Lanao del Sur,933260,62
2010,Leyte,1567984,247
2010,Maguindanao,944718,95
2010,Maguindanao del Norte,1124811,282
2010,Maguindanao del Sur,813243,164
2010,Marinduque,227828,239
2010,Masbate,834650,202
2010,Metro Manila,11855975,19137
2010,Misamis Occidental,567642,283
2010,Misamis Oriental,813856,260
2010,Mountain Province,154187,65
2010,Negros Occidental,3305264,415
2010,Negros Oriental,1492038,277
2010,Northern Samar,589013,159
2010,Nueva Ecija,1955373,344
2010,Nueva Vizcaya,421355,88
2010,Occidental Mindoro,452971,77
2010,Oriental Mindoro,785602,185
2010,Palawan,771667,53
2010,Pampanga,2014019,1006
2010,Pangasinan,2779862,510
2010,Quezon,1740638,199
2010,Quirino,176786,76
2010,Rizal,2484840,2101
2010,Romblon,283930,185
2010,Samar,733377,121
2010,Sarangani,498904,137
2010,Siquijor,91066,270
2010,Sorsogon,740743,350
2010,South Cotabato,827200,218
2010,Southern Leyte,399137,222
2010,Sultan Kudarat,747087,139
2010,Sulu,718290,158
2010,Surigao del Norte,442588,227
2010,Surigao del Sur,561219,114
2010,Tarlac,1273240,418
2010,Tawi-Tawi,366550,101
2010,Zambales,534443,147
2010,Zamboanga Sibugay,584685,168
2010,Zamboanga del Norte,957997,131
2010,Zamboanga del Sur,959685,214
2011,Abra,236018,56
2011,Agusan del Norte,336890,129
2011,Agusan del Sur,665265,67
2011,Aklan,543545,309
2011,Albay,1249711,485
2011,Antique,553227,203
2011,Apayao,113946,25
2011,Aurora,203854,65
2011,Basilan,303973,88
2011,Bataan,702116,512
2011,Batanes,16732,83
2011,Batangas,2440783,783
2011,Benguet,412400,149
2011,Biliran,163730,306
2011,Bohol,1266814,265
2011,Bukidnon,1322399,126
2011,Bulacan,2997961,1077
2011,Cagayan,1139682,122
2011,Camarines Norte,550995,242
2011,Camarines Sur,1848406,336
2011,Camiguin,84741,351
2011,Capiz,728025,280
2011,Catanduanes,249233,167
2011,Cavite,3208213,2102
2011,Cebu,2683286,543
2011,Cotabato,1257156,135
2011,Davao Occidental,298292,138
2011,Davao Oriental,525886,92
2011,Davao de Oro,783775,175
2011,Davao del Norte,959878,280
2011,Davao del Sur,586446,271
2011,Dinagat Islands,126873,155
2011,Eastern Samar,436534,95
2011,Guimaras,165277,270
2011,Ifugao,193423,74
2011,Ilocos Norte,573030,167
2011,Ilocos Sur,664803,256
2011,Iloilo,1831745,366
2011,Isabela,1510429,116
2011,Kalinga,203826,62
2011,La Union,750855,501
2011,Laguna,2742894,1423
2011,Lanao del Norte,621613,185
2011,Lanao del Sur,955694,63
2011,Leyte,1599323,252
2011,Maguindanao,990561,100
2011,Maguindanao del Norte,1124811,282
2011,Maguindanao del Sur,813243,164
2011,Marinduque,229167,240
2011,Masbate,846199,205
2011,Metro Manila,12060231,19467
2011,Misamis Occidental,574539,286
2011,Misamis Oriental,828787,265
2011,Mountain Province,154268,65
2011,Negros Occidental,3305264,415
2011,Negros Oriental,1492038,277
2011,Northern Samar,597686,161
2011,Nueva Ecija,1994591,351
2011,Nueva Vizcaya,427541,89
2011,Occidental Mindoro,459860,78
2011,Oriental Mindoro,797293,188
2011,Palawan,787227,54
2011,Pampanga,2050837,1024
2011,Pangasinan,2815235,516
2011,Quezon,1763827,202
2011,Quirino,179227,77
2011,Rizal,2564717,2169
2011,Romblon,285700,186
2011,Samar,742798,123
2011,Sarangani,507975,139
2011,Siquijor,92050,273
2011,Sorsogon,751184,355
2011,South Cotabato,844818,223
2011,Southern Leyte,403660,224
2011,Sultan Kudarat,760089,141
2011,Sulu,739578,163
2011,Surigao del Norte,451088,231
2011,Surigao del Sur,567425,115
2011,Tarlac,1291797,424
2011,Tawi-Tawi,371383,102
2011,Zambales,545724,150
2011,Zamboanga Sibugay,594374,171
2011,Zamboanga del Norte,968676,133
2011,Zamboanga del Sur,969883,216
2012,Abra,237304,56
2012,Agusan del Norte,341293,131
2012,Agusan del Sur,674112,68
2012,Aklan,551364,313
2012,Albay,1265990,492
2012,Antique,560423,205
2012,Apayao,115255,25
2012,Aurora,206474,66
2012,Basilan,314625,91
2012,Bataan,716749,522
2012,Batanes,16861,83
2012,Batangas,2504171,804
2012,Benguet,420856,152
2012,Biliran,165701,309
2012,Bohol,1278501,268
2012,Bukidnon,1345606,128
2012,Bulacan,3071488,1104
2012,Cagayan,1154592,123
2012,Camarines Norte,559074,245
2012,Camarines Sur,1874440,340
2012,Camiguin,85675,355
2012,Capiz,736365,283
2012,Catanduanes,252166,169
2012,Cavite,3325735,2179
2012,Cebu,2747210,556
2012,Cotabato,1287804,138
2012,Davao Occidental,302805,140
2012,Davao Oriental,534154,94
2012,Davao de Oro,783775,175
2012,Davao del Norte,973991,284
2012,Davao del Sur,597981,276
2012,Dinagat Islands,126943,155
2012,Eastern Samar,444190,96
2012,Guimaras,167611,274
2012,Ifugao,195768,75
2012,Ilocos Norte,578043,169
2012,Ilocos Sur,671019,259
2012,Iloilo,1857915,371
2012,Isabela,1531213,117
2012,Kalinga,206040,63
2012,La Union,759805,507
2012,Laguna,2815941,1461
2012,Lanao del Norte,635308,189
2012,Lanao del Sur,978128,65
2012,Leyte,1630662,257
2012,Maguindanao,1036404,104
2012,Maguindanao del Norte,1124811,282
2012,Maguindanao del Sur,813243,164
2012,Marinduque,230505,242
2012,Masbate,857747,208
2012,Metro Manila,12264486,19796
2012,Misamis Occidental,581436,290
2012,Misamis Oriental,843717,270
2012,Mountain Province,154348,65
2012,Negros Occidental,3305264,415
2012,Negros Oriental,1492038,277
2012,Northern Samar,606359,164
2012,Nueva Ecija,2033808,358
2012,Nueva Vizcaya,433728,90
2012,Occidental Mindoro,466748,79
2012,Oriental Mindoro,808985,191
2012,Palawan,802788,55
2012,Pampanga,2087655,1043
2012,Pangasinan,2850608,523
2012,Quezon,1787016,204
2012,Quirino,181668,78
2012,Rizal,2644595,2236
2012,Romblon,287470,187
2012,Samar,752219,124
2012,Sarangani,517047,142
2012,Siquijor,93033,276
2012,Sorsogon,761625,360
2012,South Cotabato,862436,227
2012,Southern Leyte,408182,227
2012,Sultan Kudarat,773090,144
2012,Sulu,760866,167
2012,Surigao del Norte,459588,235
2012,Surigao del Sur,573631,116
2012,Tarlac,1310355,430
2012,Tawi-Tawi,376216,104
2012,Zambales,557005,153
2012,Zamboanga Sibugay,604063,174
2012,Zamboanga del Norte,979355,134
2012,Zamboanga del Sur,980081,218
2013,Abra,238589,57
2013,Agusan del Norte,345697,132
2013,Agusan del Sur,682959,68
2013,Aklan,559184,318
2013,Albay,1282268,498
2013,Antique,567620,208
2013,Apayao,116565,26
2013,Aurora,209095,66
2013,Basilan,325276,94
2013,Bataan,731383,533
2013,Batanes,16989,84
2013,Batangas,2567559,824
2013,Benguet,429312,155
2013,Biliran,167671,313
2013,Bohol,1290187,270
2013,Bukidnon,1368812,131
2013,Bulacan,3145016,1130
2013,Cagayan,1169501,125
2013,Camarines Norte,567154,249
2013,Camarines Sur,1900475,345
2013,Camiguin,86610,358
2013,Capiz,744704,287
2013,Catanduanes,255098,171
2013,Cavite,3443257,2256
2013,Cebu,2811134,568
2013,Cotabato,1318451,142
2013,Davao Occidental,307317,142
2013,Davao Oriental,542422,95
2013,Davao de Oro,783775,175
2013,Davao del Norte,988105,289
2013,Davao del Sur,609517,282
2013,Dinagat Islands,127012,156
2013,Eastern Samar,451847,98
2013,Guimaras,169945,277
2013,Ifugao,198112,75
2013,Ilocos Norte,583055,170
2013,Ilocos Sur,677236,261
2013,Iloilo,1884084,377
2013,Isabela,1551998,119
2013,Kalinga,208253,63
2013,La Union,768754,513
2013,Laguna,2888987,1498
2013,Lanao del Norte,649004,194
2013,Lanao del Sur,1000561,66
2013,Leyte,1662001,262
2013,Maguindanao,1082247,109
2013,Maguindanao del Norte,1124811,282
2013,Maguindanao del Sur,813243,164
2013,Marinduque,231844,243
2013,Masbate,869296,210
2013,Metro Manila,12468742,20126
2013,Misamis Occidental,588332,293
2013,Misamis Oriental,858648,274
2013,Mountain Province,154429,65
2013,Negros Occidental,3305264,415
2013,Negros Oriental,1492038,277
2013,Northern Samar,615033,166
2013,Nueva Ecija,2073026,364
2013,Nueva Vizcaya,439914,92
2013,Occidental Mindoro,473637,81
2013,Oriental Mindoro,820676,193
2013,Palawan,818348,56
2013,Pampanga,2124474,1061
2013,Pangasinan,2885980,529
2013,Quezon,1810204,207
2013,Quirino,184109,79
2013,Rizal,2724472,2304
2013,Romblon,289241,189
2013,Samar,761639,126
2013,Sarangani,526118,144
2013,Siquijor,94017,278
2013,Sorsogon,772067,364
2013,South Cotabato,880053,232
2013,Southern Leyte,412705,229
2013,Sultan Kudarat,786092,146
2013,Sulu,782155,172
2013,Surigao del Norte,468088,240
2013,Surigao del Sur,579838,118
2013,Tarlac,1328912,436
2013,Tawi-Tawi,381049,105
2013,Zambales,568286,157
2013,Zamboanga Sibugay,613751,176
2013,Zamboanga del Norte,990035,136
2013,Zamboanga del Sur,990278,221
2014,Abra,239875,57
2014,Agusan del Norte,350100,134
2014,Agusan del Sur,691806,69
2014,Aklan,567003,322
2014,Albay,1298547,505
2014,Antique,574816,210
2014,Apayao,117874,26
2014,Aurora,211715,67
2014,Basilan,335928,97
2014,Bataan,746016,543
2014,Batanes,17118,84
2014,Batangas,2630947,845
2014,Benguet,437768,158
2014,Biliran,169642,316
2014,Bohol,1301874,273
2014,Bukidnon,1392019,133
2014,Bulacan,3218543,1157
2014,Cagayan,1184411,126
2014,Camarines Norte,575233,252
2014,Camarines Sur,1926509,349
2014,Camiguin,87544,362
2014,Capiz,753044,290
2014,Catanduanes,258031,173
2014,Cavite,3560779,2333
2014,Cebu,2875058,581
2014,Cotabato,1349099,145
2014,Davao Occidental,311830,144
2014,Davao Oriental,550690,97
2014,Davao de Oro,783775,175
2014,Davao del Norte,1002218,293
2014,Davao del Sur,621052,287
2014,Dinagat Islands,127082,156
2014,Eastern Samar,459503,99
2014,Guimaras,172279,281
2014,Ifugao,200457,76
2014,Ilocos Norte,588068,172
2014,Ilocos Sur,683452,264
2014,Iloilo,1910254,382
2014,Isabela,1572782,120
2014,Kalinga,210467,64
2014,La Union,777704,519
2014,Laguna,2962034,1536
2014,Lanao del Norte,662699,198
2014,Lanao del Sur,1022995,68
2014,Leyte,1693340,267
2014,Maguindanao,1128090,113
2014,Maguindanao del Norte,1124811,282
2014,Maguindanao del Sur,813243,164
2014,Marinduque,233182,245
2014,Masbate,880844,213
2014,Metro Manila,12672997,20455
2014,Misamis Occidental,595229,297
2014,Misamis Oriental,873578,279
2014,Mountain Province,154509,65
2014,Negros Occidental,3305264,415
2014,Negros Oriental,1492038,277
2014,Northern Samar,623706,169
2014,Nueva Ecija,2112243,371
2014,Nueva Vizcaya,446101,93
2014,Occidental Mindoro,480525,82
2014,Oriental Mindoro,832368,196
2014,Palawan,833909,57
2014,Pampanga,2161292,1080
2014,Pangasinan,2921353,536
2014,Quezon,1833393,209
2014,Quirino,186550,80
2014,Rizal,2804350,2371
2014,Romblon,291011,190
2014,Samar,771060,127
2014,Sarangani,535190,147
2014,Siquijor,95000,281
2014,Sorsogon,782508,369
2014,South Cotabato,897671,236
2014,Southern Leyte,417227,232
2014,Sultan Kudarat,799093,149
2014,Sulu,803443,176
2014,Surigao del Norte,476588,244
2014,Surigao del Sur,586044,119
2014,Tarlac,1347470,442
2014,Tawi-Tawi,385882,107
2014,Zambales,579567,160
2014,Zamboanga Sibugay,623440,179
2014,Zamboanga del Norte,1000714,137
2014,Zamboanga del Sur,1000476,223
2015,Abra,241160,57
2015,Agusan del Norte,354503,136
2015,Agusan del Sur,700653,70
2015,Aklan,574823,327
2015,Albay,1314826,511
2015,Antique,582012,213
2015,Apayao,119184,26
2015,Aurora,214336,68
2015,Basilan,346579,100
2015,Bataan,760650,554
2015,Batanes,17246,85
2015,Batangas,2694335,865
2015,Benguet,446224,161
2015,Biliran,171612,320
2015,Bohol,1313560,275
2015,Bukidnon,1415226,135
2015,Bulacan,3292071,1183
2015,Cagayan,1199320,128
2015,Camarines Norte,583313,256
2015,Camarines Sur,1952544,354
2015,Camiguin,88478,366
2015,Capiz,761384,293
2015,Catanduanes,260964,175
2015,Cavite,3678301,2410
2015,Cebu,2938982,594
2015,Cotabato,1379747,148
2015,Davao Occidental,316342,146
2015,Davao Oriental,558958,98
2015,Davao de Oro,783775,175
2015,Davao del Norte,1016332,297
2015,Davao del Sur,632588,292
2015,Dinagat Islands,127152,156
2015,Eastern Samar,467160,101
2015,Guimaras,174613,285
2015,Ifugao,202802,77
2015,Ilocos Norte,593081,173
2015,Ilocos Sur,689668,266
2015,Iloilo,1936423,387
2015,Isabela,1593566,122
2015,Kalinga,212680,65
2015,La Union,786653,525
2015,Laguna,3035081,1574
2015,Lanao del Norte,676395,202
2015,Lanao del Sur,1045429,69
2015,Leyte,1724679,272
2015,Maguindanao,1173933,118
2015,Maguindanao del Norte,1124811,282
2015,Maguindanao del Sur,813243,164
2015,Marinduque,234521,246
2015,Masbate,892393,216
2015,Metro Manila,12877253,20785
2015,Misamis Occidental,602126,300
2015,Misamis Oriental,888509,284
2015,Mountain Province,154590,65
2015,Negros Occidental,3305264,415
2015,Negros Oriental,1492038,277
2015,Northern Samar,632379,171
2015,Nueva Ecija,2151461,378
2015,Nueva Vizcaya,452287,94
2015,Occidental Mindoro,487414,83
2015,Oriental Mindoro,844059,199
2015,Palawan,849469,58
2015,Pampanga,2198110,1098
2015,Pangasinan,2956726,542
2015,Quezon,1856582,212
2015,Quirino,188991,81
2015,Rizal,2884227,2439
2015,Romblon,292781,191
2015,Samar,780481,129
2015,Sarangani,544261,149
2015,Siquijor,95984,284
2015,Sorsogon,792949,374
2015,South Cotabato,915289,241
2015,Southern Leyte,421750,234
2015,Sultan Kudarat,812095,151
2015,Sulu,824731,181
2015,Surigao del Norte,485088,248
2015,Surigao del Sur,592250,120
2015,Tarlac,1366027,448
2015,Tawi-Tawi,390715,108
2015,Zambales,590848,163
2015,Zamboanga Sibugay,633129,182
2015,Zamboanga del Norte,1011393,139
2015,Zamboanga del Sur,1010674,225
2016,Abra,243125,58
2016,Agusan del Norte,361103,138
2016,Agusan del Sur,708396,71
2016,Aklan,582953,332
2016,Albay,1326814,516
2016,Antique,588204,215
2016,Apayao,120220,26
2016,Aurora,218619,69
2016,Basilan,362505,105
2016,Bataan,779195,568
2016,Batanes,17563,87
2016,Batangas,2737167,879
2016,Benguet,449116,162
2016,Biliran,173152,323
2016,Bohol,1329714,278
2016,Bukidnon,1440442,137
2016,Bulacan,3375435,1213
2016,Cagayan,1213177,129
2016,Camarines Norte,592590,260
2016,Camarines Sur,1975684,358
2016,Camiguin,89344,370
2016,Capiz,770098,296
2016,Catanduanes,263147,176
2016,Cavite,3811607,2497
2016,Cebu,3016263,610
2016,Cotabato,1401921,150
2016,Davao Occidental,316505,146
2016,Davao Oriental,562435,99
2016,Davao de Oro,783775,175
2016,Davao del Norte,1038077,303
2016,Davao del Sur,642167,296
2016,Dinagat Islands,127345,156
2016,Eastern Samar,469162,101
2016,Guimaras,177259,289
2016,Ifugao,203741,77
2016,Ilocos Norte,596382,174
2016,Ilocos Sur,692936,267
2016,Iloilo,1959518,392
2016,Isabela,1614263,124
2016,Kalinga,216058,66
2016,La Union,793793,530
2016,Laguna,3104503,1610
2016,Lanao del Norte,685696,205
2016,Lanao del Sur,1075447,71
2016,Leyte,1735113,274
2016,Maguindanao,1207582,121
2016,Maguindanao del Norte,1124811,282
2016,Maguindanao del Sur,813243,164
2016,Marinduque,235458,247
2016,Masbate,895698,217
2016,Metro Manila,12998695,20981
2016,Misamis Occidental,605167,302
2016,Misamis Oriental,902187,288
2016,Mountain Province,155312,65
2016,Negros Occidental,3305264,415
2016,Negros Oriental,1492038,277
2016,Northern Samar,633740,171
2016,Nueva Ecija,2183196,384
2016,Nueva Vizcaya,461316,96
2016,Occidental Mindoro,495002,84
2016,Oriental Mindoro,856915,202
2016,Palawan,867494,59
2016,Pampanga,2246030,1122
2016,Pangasinan,2998019,550
2016,Quezon,1875357,214
2016,Quirino,191958,82
2016,Rizal,2973410,2514
2016,Romblon,296022,193
2016,Samar,783021,129
2016,Sarangani,547198,150
2016,Siquijor,97466,288
2016,Sorsogon,800090,377
2016,South Cotabato,927326,244
2016,Southern Leyte,423315,235
2016,Sultan Kudarat,820486,153
2016,Sulu,859806,189
2016,Surigao del Norte,494998,253
2016,Surigao del Sur,602251,122
2016,Tarlac,1393513,457
2016,Tawi-Tawi,400627,111
2016,Zambales,602601,166
2016,Zamboanga Sibugay,640471,184
2016,Zamboanga del Norte,1018605,140
2016,Zamboanga del Sur,1018673,227
2017,Abra,245090,58
2017,Agusan del Norte,367703,141
2017,Agusan del Sur,716139,72
2017,Aklan,591084,336
2017,Albay,1338803,520
2017,Antique,594397,217
2017,Apayao,121257,27
2017,Aurora,222902,71
2017,Basilan,378430,109
2017,Bataan,797739,581
2017,Batanes,17880,88
2017,Batangas,2779999,893
2017,Benguet,452008,163
2017,Biliran,174692,326
2017,Bohol,1345868,282
2017,Bukidnon,1465659,140
2017,Bulacan,3458799,1243
2017,Cagayan,1227033,131
2017,Camarines Norte,601867,264
2017,Camarines Sur,1998824,362
2017,Camiguin,90210,373
2017,Capiz,778811,300
2017,Catanduanes,265330,178
2017,Cavite,3944912,2585
2017,Cebu,3093543,626
2017,Cotabato,1424095,153
2017,Davao Occidental,316669,146
2017,Davao Oriental,565912,99
2017,Davao de Oro,783775,175
2017,Davao del Norte,1059822,310
2017,Davao del Sur,651745,301
2017,Dinagat Islands,127538,156
2017,Eastern Samar,471163,102
2017,Guimaras,179905,294
2017,Ifugao,204680,78
2017,Ilocos Norte,599684,175
2017,Ilocos Sur,696204,268
2017,Iloilo,1982613,397
2017,Isabela,1634960,125
2017,Kalinga,219436,67
2017,La Union,800933,534
2017,Laguna,3173926,1646
2017,Lanao del Norte,694998,208
2017,Lanao del Sur,1105465,73
2017,Leyte,1745546,275
2017,Maguindanao,1241231,125
2017,Maguindanao del Norte,1124811,282
2017,Maguindanao del Sur,813243,164
2017,Marinduque,236395,248
2017,Masbate,899004,218
2017,Metro Manila,13120137,21177
2017,Misamis Occidental,608209,303
2017,Misamis Oriental,915865,293
2017,Mountain Province,156034,65
2017,Negros Occidental,3305264,415
2017,Negros Oriental,1492038,277
2017,Northern Samar,635102,172
2017,Nueva Ecija,2214930,389
2017,Nueva Vizcaya,470345,98
2017,Occidental Mindoro,502590,86
2017,Oriental Mindoro,869771,205
2017,Palawan,885519,60
2017,Pampanga,2293950,1146
2017,Pangasinan,3039312,557
2017,Quezon,1894133,216
2017,Quirino,194926,84
2017,Rizal,3062593,2590
2017,Romblon,299263,195
2017,Samar,785562,130
2017,Sarangani,550135,151
2017,Siquijor,98948,293
2017,Sorsogon,807231,381
2017,South Cotabato,939364,247
2017,Southern Leyte,424879,236
2017,Sultan Kudarat,828878,154
2017,Sulu,894882,197
2017,Surigao del Norte,504907,258
2017,Surigao del Sur,612252,124
2017,Tarlac,1420999,466
2017,Tawi-Tawi,410539,113
2017,Zambales,614355,169
2017,Zamboanga Sibugay,647813,186
2017,Zamboanga del Norte,1025818,141
2017,Zamboanga del Sur,1026672,229
2018,Abra,247055,59
